people_id,num
460000095040541608,35
460000095083818745,151
460000095083499334,148
460000095060523239,204
460000095040591270,64
460000095084486097,71
460020095000646396,259
460020095002693054,271
460070095040136238,90
460000095007687263,82
460000095074476402,116
460070095025649502,99
460000095005571676,192
460020095025609903,83
460000095091180583,131
460000095093417729,73
460020095004730821,168
460000095028482910,10
460020095001645387,69
460070095006117569,77
460000095007329090,69
460000095084494779,41
460020095013629082,97
460000095074465569,91
460020095006349317,78
460000095079109575,49
460000095080923032,119
460020095021709464,124
460020095001192336,137
460020095044852955,112
460020095009713959,109
460020095040749610,140
460070095025648611,103
460020095025669655,42
460000095083470449,125
460000095018240151,250
460020095047591881,100
460070095024650259,223
460020095000586650,56
460000095063856923,75
460020095004751842,62
460000095071779102,80
460070095005469544,75
460020095081880808,67
460000095057074060,29
460000095064990351,86
460000095090129828,103
460000095080958864,58
460000095084420542,35
460000095084995924,361
460020095040371174,75
460000095062189004,13
460070095024644511,95
460020095051970226,22
460000095090191628,95
460000095074423059,59
460020095025808757,169
460000095074467156,90
460020095019361156,125
460020095020826206,81
460020095001775162,120
460000095093938695,56
460020095098800085,130
460000095064919090,23
460020095027690570,153
460020095003693826,46
460020095000526731,97
460000095084416880,106
460020095024525542,33
460000095073912558,62
460000095080968055,87
460000095005561145,36
460000095084492531,63
460020095004258157,49
460000095090758498,187
460020095024652194,68
460000095084437788,20
460000095063881983,9
460070095021168998,46
460000095074424637,127
460020095098364762,56
460020095003040400,10
460070095048036852,48
460020095026670626,68
460020095098336977,107
460000095009768355,66
460070095098545714,64
460020095000636300,61
460020095025511997,57
460000095009824436,52
460020095088859075,47
460020095029764850,114
460000095063979850,191
460020095002685457,55
460070095024575626,65
460020095050670159,50
460000095005565778,43
460020095009127182,109
460020095033733585,80
460070095040239953,63
460020095002752094,104
460000095083402469,15
460020095040329737,17
460020095002765063,86
460000095083457844,56
460020095053216865,48
460020095040671966,87
460070095098504016,25
460020095020693878,22
460020095019213379,41
460020095025588848,31
460000095062225863,32
460020095068332375,29
460020095042630820,19
